,,,,,,
,2023-06-20 ,17:40:54 ,--> ,.˙¸¸,,
,2023-06-20 ,17:40:56 ,--> ,Started!,,
,2023-06-20 ,17:40:56 ,--> ,341,,
,2023-06-20 ,17:40:57 ,--> ,224,,
,2023-06-20 ,17:40:58 ,--> ,220,,
,2023-06-20 ,17:40:59 ,--> ,215,,
,2023-06-20 ,17:41:00 ,--> ,216,,
,2023-06-20 ,17:41:01 ,--> ,216,,
,2023-06-20 ,17:41:02 ,--> ,170,,
,2023-06-20 ,17:41:03 ,--> ,163,,
,2023-06-20 ,17:41:04 ,--> ,164,,
,2023-06-20 ,17:41:05 ,--> ,165,,
,2023-06-20 ,17:41:06 ,--> ,165,,
,2023-06-20 ,17:41:07 ,--> ,165,,
,2023-06-20 ,17:41:08 ,--> ,163,,
,2023-06-20 ,17:41:09 ,--> ,167,,
,2023-06-20 ,17:41:10 ,--> ,168,,
,2023-06-20 ,17:41:11 ,--> ,168,,
,2023-06-20 ,17:41:12 ,--> ,168,,
,2023-06-20 ,17:41:13 ,--> ,168,,
,2023-06-20 ,17:41:14 ,--> ,168,,
,2023-06-20 ,17:41:15 ,--> ,169,,
,2023-06-20 ,17:41:16 ,--> ,170,,
,2023-06-20 ,17:41:17 ,--> ,170,,
,2023-06-20 ,17:41:18 ,--> ,170,,
,2023-06-20 ,17:41:19 ,--> ,170,,
,2023-06-20 ,17:41:20 ,--> ,170,,
,2023-06-20 ,17:41:21 ,--> ,170,,
,2023-06-20 ,17:41:22 ,--> ,170,,
,2023-06-20 ,17:41:23 ,--> ,169,,
,2023-06-20 ,17:41:24 ,--> ,170,,
,2023-06-20 ,17:41:25 ,--> ,170,,
,2023-06-20 ,17:41:26 ,--> ,170,,
,2023-06-20 ,17:41:27 ,--> ,171,,
,2023-06-20 ,17:41:28 ,--> ,170,,
,2023-06-20 ,17:41:29 ,--> ,170,,
,2023-06-20 ,17:41:30 ,--> ,170,,
,2023-06-20 ,17:41:31 ,--> ,170,,
,2023-06-20 ,17:41:32 ,--> ,170,,
,2023-06-20 ,17:41:33 ,--> ,170,,
,2023-06-20 ,17:41:34 ,--> ,170,,
,2023-06-20 ,17:41:35 ,--> ,170,,
,2023-06-20 ,17:41:36 ,--> ,170,,
,2023-06-20 ,17:41:37 ,--> ,170,,
,2023-06-20 ,17:41:38 ,--> ,170,,
,2023-06-20 ,17:41:39 ,--> ,170,,
,2023-06-20 ,17:41:40 ,--> ,170,,
,2023-06-20 ,17:41:41 ,--> ,169,,
,2023-06-20 ,17:41:42 ,--> ,169,,
,2023-06-20 ,17:41:43 ,--> ,170,,
,2023-06-20 ,17:41:44 ,--> ,170,,
,2023-06-20 ,17:41:45 ,--> ,169,,
,2023-06-20 ,17:41:46 ,--> ,169,,
,2023-06-20 ,17:41:47 ,--> ,169,,
,2023-06-20 ,17:41:48 ,--> ,169,,
,2023-06-20 ,17:41:49 ,--> ,169,,
,2023-06-20 ,17:41:50 ,--> ,169,,
,2023-06-20 ,17:41:51 ,--> ,169,,
,2023-06-20 ,17:41:52 ,--> ,169,,
,2023-06-20 ,17:41:53 ,--> ,169,,
,2023-06-20 ,17:41:54 ,--> ,169,,
,2023-06-20 ,17:41:55 ,--> ,169,,
,2023-06-20 ,17:41:56 ,--> ,169,,
,2023-06-20 ,17:41:57 ,--> ,170,,
,2023-06-20 ,17:41:58 ,--> ,169,,
,2023-06-20 ,17:41:59 ,--> ,169,,
,2023-06-20 ,17:42:00 ,--> ,168,,
,2023-06-20 ,17:42:01 ,--> ,168,,
,2023-06-20 ,17:42:02 ,--> ,168,,
,2023-06-20 ,17:42:03 ,--> ,169,,
,2023-06-20 ,17:42:04 ,--> ,168,,
,2023-06-20 ,17:42:05 ,--> ,168,,
,2023-06-20 ,17:42:06 ,--> ,168,,
,2023-06-20 ,17:42:07 ,--> ,168,,
,2023-06-20 ,17:42:08 ,--> ,168,,
,2023-06-20 ,17:42:09 ,--> ,167,,
,2023-06-20 ,17:42:10 ,--> ,168,,
,2023-06-20 ,17:42:11 ,--> ,168,,
,2023-06-20 ,17:42:12 ,--> ,168,,
,2023-06-20 ,17:42:13 ,--> ,168,,
,2023-06-20 ,17:42:14 ,--> ,168,,
,2023-06-20 ,17:42:15 ,--> ,168,,
,2023-06-20 ,17:42:16 ,--> ,167,,
,2023-06-20 ,17:42:17 ,--> ,168,,
,2023-06-20 ,17:42:18 ,--> ,168,,
,2023-06-20 ,17:42:19 ,--> ,168,,
,2023-06-20 ,17:42:20 ,--> ,168,,
,2023-06-20 ,17:42:21 ,--> ,167,,
,2023-06-20 ,17:42:22 ,--> ,167,,
,2023-06-20 ,17:42:23 ,--> ,167,,
,2023-06-20 ,17:42:24 ,--> ,167,,
,2023-06-20 ,17:42:25 ,--> ,167,,
,2023-06-20 ,17:42:26 ,--> ,167,,
,2023-06-20 ,17:42:27 ,--> ,166,,
,2023-06-20 ,17:42:28 ,--> ,166,,
,2023-06-20 ,17:42:29 ,--> ,167,,
,2023-06-20 ,17:42:30 ,--> ,167,,
,2023-06-20 ,17:42:31 ,--> ,167,,
,2023-06-20 ,17:42:32 ,--> ,166,,
,2023-06-20 ,17:42:33 ,--> ,166,,
,2023-06-20 ,17:42:34 ,--> ,167,,
,2023-06-20 ,17:42:35 ,--> ,167,,
,2023-06-20 ,17:42:36 ,--> ,167,,
,2023-06-20 ,17:42:37 ,--> ,166,,
,2023-06-20 ,17:42:38 ,--> ,166,,
,2023-06-20 ,17:42:39 ,--> ,166,,
,2023-06-20 ,17:42:40 ,--> ,166,,
,2023-06-20 ,17:42:41 ,--> ,167,,
,2023-06-20 ,17:42:42 ,--> ,166,,
,2023-06-20 ,17:42:43 ,--> ,166,,
,2023-06-20 ,17:42:44 ,--> ,166,,
,2023-06-20 ,17:42:45 ,--> ,166,,
,2023-06-20 ,17:42:46 ,--> ,166,,
,2023-06-20 ,17:42:47 ,--> ,167,,
,2023-06-20 ,17:42:48 ,--> ,167,,
,2023-06-20 ,17:42:49 ,--> ,167,,
,2023-06-20 ,17:42:50 ,--> ,162,,
,2023-06-20 ,17:42:51 ,--> ,164,,
,2023-06-20 ,17:42:52 ,--> ,164,,
,2023-06-20 ,17:42:53 ,--> ,161,,
,2023-06-20 ,17:42:54 ,--> ,163,,
,2023-06-20 ,17:42:55 ,--> ,160,,
,2023-06-20 ,17:42:56 ,--> ,162,,
,2023-06-20 ,17:42:57 ,--> ,161,,
,2023-06-20 ,17:42:58 ,--> ,161,,
,2023-06-20 ,17:42:59 ,--> ,164,,
,2023-06-20 ,17:43:00 ,--> ,166,,
,2023-06-20 ,17:43:01 ,--> ,160,,